"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Sex.infant","Parity","Takeover.before.swelling","Date.takeover","ID.takeover","Age.takeover","Dataset"
"140","L","F130","M112","2008-01-16","mother swells","2010-04-02",26.4590163934426,"M","primi","No takeover",NA,NA,NA,"conservative"
"141","R","F190","F191","2007-07-10","mother swells","2009-02-24",19.5081967213115,"F","primi","No takeover",NA,NA,NA,"conservative"
"142","D","F76","M42","2006-09-14","mother swells","2008-01-25",16.327868852459,"M","multi","No takeover",NA,NA,NA,"conservative"
"143","C1","F42","M27","2013-09-26","mother swells","2016-01-22",27.8032786885246,"M","multi","No takeover",NA,NA,NA,"conservative"
"144","V","F240","F239","2014-10-03","mother swells","2016-04-11",18.2295081967213,"F","multi","No takeover",NA,NA,NA,"conservative"
"145","M2","F135","M87","2014-09-10","mother swells","2016-02-15",17.1475409836066,"M","multi","No takeover",NA,NA,NA,"conservative"
"146","G","F88","M111","2010-10-30","mother swells","2012-06-07",19.2131147540984,"M","multi","No takeover",NA,NA,NA,"conservative"
"147","M2","F142","M90","2014-03-23","mother swells","2016-01-26",22.0983606557377,"M","multi","No takeover",NA,NA,NA,"conservative"
"148","C1","F55","F37","2013-06-01","mother swells","2014-04-22",10.655737704918,"F","multi","No takeover",NA,NA,NA,"conservative"
"149","G","F89","M64","2010-10-08","mother swells","2012-08-15",22.1967213114754,"M","multi","No takeover",NA,NA,NA,"conservative"
"150","G","F90","F85","2007-10-24","mother swells","2009-06-06",19.3770491803279,"F","multi","No takeover",NA,NA,NA,"conservative"
"151","G","F91","M60","2013-07-14","mother swells","2014-05-17",10.0655737704918,"M","multi","No takeover",NA,NA,NA,"conservative"
"152","G","F91","M13","2010-11-27","mother swells","2012-06-08",18.327868852459,"M","multi","No takeover",NA,NA,NA,"conservative"
"153","Z","F252","F261","2012-06-07","mother swells","2013-05-04",10.8524590163934,"F","multi","No takeover",NA,NA,NA,"conservative"
"154","T","F204","F202","2013-04-27","mother swells","2014-03-27",10.9508196721311,"F","multi","No takeover",NA,NA,NA,"conservative"
"155","C5","F50","F40","2016-01-25","mother swells","2017-03-14",13.5737704918033,"F","multi","No takeover",NA,NA,NA,"conservative"
